image_id,title_len,bullets_len,bullets_lines,vip_digits,unit_digits,nonvip_digits,has_badge,Sales Period Position_dx,Sales Period Position_dy,Sales Period Position_dlogw,Sales Period Position_dlogh,Brand Position_dx,Brand Position_dy,Brand Position_dlogw,Brand Position_dlogh,Product Position_dx,Product Position_dy,Product Position_dlogw,Product Position_dlogh,FAB Position_dx,FAB Position_dy,FAB Position_dlogw,FAB Position_dlogh,Product Image Position_dx,Product Image Position_dy,Product Image Position_dlogw,Product Image Position_dlogh,VIP Price Position_dx,VIP Price Position_dy,VIP Price Position_dlogw,VIP Price Position_dlogh,Non VIP Price Position_dx,Non VIP Price Position_dy,Non VIP Price Position_dlogw,Non VIP Price Position_dlogh,Original Price Position_dx,Original Price Position_dy,Original Price Position_dlogw,Original Price Position_dlogh,Icon Position_dx,Icon Position_dy,Icon Position_dlogw,Icon Position_dlogh
1,0,0,0,0,0,0,0,0.03113498089300082,-0.00932786102172165,-0.21428981725479865,0.05918522855263376,0.0023814611826226796,-0.014312022325020202,-0.37384712742435683,0.0030149570855799407,0.007161982099758646,-0.018562072606597015,0.26721383814067823,-0.17700416759487708,0.003990471641190663,0.017599180410297687,-0.2694642823873712,-0.2983551416625292,-0.11895238334674171,0.13176852876106188,0.17862856676541214,-0.32900795785484227,-0.007226091110217237,0.02554744066773935,0.04107408327963474,0.3803839517873219,-0.001617809734513287,0.0565887721238937,-0.51094055968934,-0.2824473586278895,0.0016002111826226794,0.035760257441673285,-0.5520849512136874,-0.2451045802988112,0.038201427996781945,-0.00511929304102976,-0.12254826588976726,-0.07829839878941403
2,0,0,0,0,0,0,0,0.02414250396438473,-0.005305334875301692,-0.13904677718263017,-0.33168108013437897,-0.012302912638398144,-0.025575095534995995,-0.06378313634602643,0.239403735149809,-0.00913484759837101,-0.01936657783588096,-0.20252667461774418,-0.17700416759487694,0.08965046740332587,0.00553160197103777,-0.49181459757152257,-0.3259430981813577,-0.08867059979137988,-0.025914496178600154,-0.7422418434498766,0.1260028868047524,-0.014668195158411746,0.029569966814159354,0.05053600585669142,0.38694135233348115,-0.009070250038330275,0.05980679304102985,-0.5402703235367483,-0.33245777920254804,-0.009070250038330275,0.035760257441673285,-0.509528395839032,-0.09850110610693465,0.0,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0.029761981604479716,-0.012545881938857594,-0.16600258717115793,0.08817276542588437,-0.013908477678425313,-0.016725538012872042,-0.9347507408191348,0.05497469601628941,-0.01796545531852033,-0.020171083065164908,-0.2135765108043291,0.6431427037263758,0.022216735722185566,0.011967643805309791,-0.6001119729026586,0.07718828658058594,-0.1721599818727917,0.06740811041834283,0.4059346032343549,-0.07954709822325869,-0.02189323783853393,0.03198348250201111,-0.1871356460204284,0.31934806120095294,-0.015492510198438858,0.05417525643604186,-0.5169229595397572,-0.2583498070488284,-0.012281380118384588,0.034955752212389515,-0.5773509921777931,-0.2717728273809687,0.04122995089417216,-0.018795881938857596,-0.1406922307794599,0.11719362119428596
4,0,0,0,0,0,0,0,0.029525970434432836,-0.006109840104585684,-0.19156156617724257,-0.09987946607705335,-0.00244557019308127,-0.017530043242156124,0.17395749958272128,-0.010408063246562287,0.0015304454947707047,-0.024998114440868947,-0.045447749786816566,0.6431427037263756,0.4207241804102977,-0.13042978177795664,-0.513410961331344,-0.4135904052401128,-0.42225085478680613,0.1550991804102977,0.92967732912168,-0.8886237457902648,0.0008189611826226795,0.029569966814159264,0.28805574914978715,0.3193480612009531,0.004013726870474632,0.05095723551890572,-0.3197187534251211,-0.007035378767921143,0.006427242558326629,0.04139179404666127,-0.3462328970095387,-0.5153949100387223,0.03498340707964598,-0.007532808728881757,-0.15480912810798908,-0.05582554293735535
5,0,0,0,0,0,0,0,0.03193948612228481,-0.008523355792437681,-0.18038826557911763,0.029332265402952213,-3.205450522929532e-05,-0.022357074617860028,-1.1161269965619465,0.05497469601628941,-0.0016875754223652617,-0.03143415627514083,-0.35774400653199934,0.5265058000006152,0.39256649738535804,-0.13123428700724057,-0.6975359451244492,-0.38351295000283536,-0.29674803901850366,0.1647532431617055,0.5569650074853235,-0.6489508925248441,-0.0023990597345132647,0.03359249296057918,-0.039942067710438435,0.2909773640717343,0.0016002111826226794,0.05417525643604169,-0.34536118403845895,-0.18935693556187452,0.0007957059533386879,0.03736926790024135,-0.29192090765579887,-0.4487035355400533,0.034178901850361855,-0.01557786102172165,-0.07099045622491754,0.0983251368899034
6,0,0,0,0,0,0,0,0.030330475663716827,-0.005305334875301692,-0.23754667941906601,-0.24829947119532778,-0.008881612027353191,-0.012703011866452129,-0.08445419056894662,0.13987560149382508,-0.005710101568785209,-0.01212603077232508,-0.10108483009221222,-0.21956378201367277,0.13753833970233303,0.008749622888173736,-0.8243852260185859,-0.42897532407959293,-0.105275794448914,-0.04280910599356398,-0.028823654754122265,0.18324521790233422,-0.011248617256637183,0.017502388374899435,-0.1420259865937338,0.32631673051704524,-0.008053851568785209,0.042912183226065895,-0.5701294310796704,-0.10419912722156871,-0.006444841110217236,0.030933226065969422,-0.6479667229169699,-0.2451045802988112,0.033374345819846774,-0.008337313958165815,-0.13318632641610792,-0.023035179445597048
7,0,0,0,0,0,0,0,0.03274399135156876,-0.0069143453338696755,-0.1859593106285726,-0.13497078588832467,-0.006468096339501206,-0.012703011866452129,-0.3841742415802063,-0.037807037434676366,-0.003296597170095694,-0.020171083065164908,-0.07894367007283623,0.6339260486214511,0.12144823511665326,0.013576654263877774,-0.5595020685316112,-0.3761328427052129,-0.06907305913113433,-0.04602712691069995,-0.450892917914322,0.20441749782838955,-0.005617080651649254,0.026351945897023298,-0.21469717689109252,0.32631673051704524,-0.0024223149637972786,0.051761740748189844,-0.5263848821168138,-0.2583498070488284,-0.001617809734513287,0.030933226065969422,-0.5752073686345419,-0.29917180156908385,0.03337437404275292,-0.008337354410465726,-0.05602744461327302,-0.012339896080641732
8,0,0,0,0,0,0,0,0.026028009260854336,-0.0069143453338696755,-0.17591932258500104,-0.06597791440137242,-0.011397628916794878,-0.007071475261464233,-1.3511918012817212,-0.06597791440137254,-0.006620553418199749,-0.018562072606597015,-0.3652668791949866,0.5569650074853238,-0.002557546295658275,0.007945117658889788,-0.13436056561069695,-0.14129325162781192,-0.19902649429955505,0.2854290275543042,0.5288650977159056,-0.6688190957415704,-0.00010182692241436086,0.031178977272727337,-0.0929728367926635,0.29097736407173647,0.0022867108268832094,0.051761740748189844,-0.5875944782368461,-0.33245777920255265,0.0022867108268832094,0.030128720836685653,-0.6365377975342372,-0.27177282738097336,0.03248547863754343,-0.00994632441673371,-0.11834244617042196,-0.012340430997616374
9,0,0,0,0,0,0,0,0.03113498089300082,-0.0069143453338696755,-0.19719538389549857,-0.13497078588832453,0.003990471641190663,-0.0014399386564763362,-0.4937728679931005,-0.037807037434676366,0.004748466411906671,-0.012126030772324992,0.05732117530518459,0.6431427037263757,0.0023814611826226796,0.013576654263877774,-0.35029161152132526,0.14493427511297458,-0.0006901146419951764,-0.01947845434432822,-0.7160006683275644,0.16887715463541386,0.007255003016894612,0.0319834825020112,-0.0830519841341822,0.2468525591627995,0.009645263475462596,0.051761740748189844,-0.5823995236714851,-0.2824473586278895,0.009645263475462596,0.03254223652453732,-0.6479667229169701,-0.3563302154090348,0.03900591064774108,-0.011555385440676691,-0.12785316883831702,-0.001757660059287313
10,0,0,0,0,0,0,0,0.01879521438901528,-0.007718850563153667,-0.056296360006610084,-0.033188091578381824,-0.008986697292848522,-0.009484990949316208,0.01906556092835245,-0.02401371530234022,-0.0017986901703070713,-0.017757567377312978,-0.3782963794853208,0.6522751872896487,-0.0041648340449558455,0.0071406124296058415,-0.6221811153026002,-0.11830373340311338,-0.19983019455958173,0.0722351417940466,0.5356911821096727,-0.06847687446901089,0.0007018000366210808,0.02393849088762092,-0.1384324043875703,0.25435298709385656,-0.0017314916307473727,0.03969566915710363,-0.5431390550390748,-0.1458747656705612,0.0022867108268832094,0.023692679002413543,-0.6490379602984688,-0.3273426785357814,0.0,0.0,0.0,0.0
